question,answer
"Describe the standard structure of a Transformer's feed-forward (MLP) sublayer, including the typical width expansion factor and where the nonlinearity is applied.","The standard MLP sublayer takes the n_embd-dimensional input, projects it UP to a wider hidden dimension (conventionally 4 * n_embd) with a first linear layer, applies a nonlinear activation function (historically ReLU or GELU; some modern models use ReLU-squared or SwiGLU) to that wide hidden representation, and then projects it back DOWN to n_embd with a second linear layer. This up-project -> nonlinearity -> down-project pattern, applied independently and identically to every token position (no mixing across positions), is where most of a transformer's parameters and FLOPs typically reside."
"A transformer's MLP sublayer has n_embd = 512 and uses the standard 4x hidden-dimension expansion with two bias-free linear layers (no bias terms). How many parameters does this MLP sublayer have in total?","The up-projection layer has weight shape (4*512, 512) = (2048, 512), giving 2048 * 512 = 1,048,576 parameters. The down-projection layer has weight shape (512, 2048), giving 512 * 2048 = 1,048,576 parameters. Total = 1,048,576 + 1,048,576 = 2,097,152 parameters, which can also be computed directly as 2 * 4 * n_embd^2 = 8 * 512^2 = 8 * 262,144 = 2,097,152."
"For a single transformer block with n_embd = n and equal-sized Q/K/V/output projections (standard multi-head attention, no GQA) plus a standard 4x MLP, all linear layers being square n x n or n x 4n matrices with no bias: express the total number of matrix parameters in the block as a multiple of n^2, and state what fraction of that total is attributable to the MLP.","Attention has 4 matrices of size n x n (query, key, value, and output projections), for 4n^2 parameters. The MLP has 2 matrices of size n x 4n (equivalently 4n x n), for 2 * 4n^2 = 8n^2 parameters. Total = 4n^2 + 8n^2 = 12n^2 parameters. The MLP's share is 8n^2 / 12n^2 = 2/3, i.e. the MLP holds two-thirds of a transformer block's matrix parameters when Q/K/V/output all have full width n (no grouped-query attention reduction)."
"Compare ReLU, GELU, and SwiGLU as activation functions used inside transformer MLP blocks. Give one practical reason a model might choose ReLU-squared (relu(x)^2) over GELU.","ReLU(x) = max(0, x) is a simple, cheap, piecewise-linear function that zeroes out all negative inputs. GELU(x) is a smooth approximation that weights inputs by their value under the standard normal CDF, giving a smoother, differentiable-everywhere curve that empirically improved training in many early large models (e.g. GPT-2, BERT) but requires computing an error function (erf) or a tanh-based approximation, making it more expensive per element. SwiGLU is a 'gated' variant used in models like LLaMA and PaLM that computes two separate linear projections of the input, applies the Swish/SiLU activation to one and multiplies it elementwise by the other (a gating mechanism), which tends to improve quality further but requires a third weight matrix in the MLP (increasing parameter count for the same hidden width) and more compute per token. A model might prefer ReLU-squared over GELU because relu(x)^2 needs only a max-with-zero comparison and one multiplication (no exp/erf/tanh), making it substantially cheaper to compute on hardware without fast transcendental-function support, while recent small-model research found it trains at least as well as GELU in practice."
"A GPT-style model has vocabulary size V = 32,000, embedding width n_embd = 4096, n_layer = 32 transformer blocks each with 12*n_embd^2 matrix parameters (as in a standard block with no GQA), and untied (separate) input embedding and output projection ('language model head') matrices. Estimate the total parameter count, and state what fraction is in the two (V, n_embd) embedding/output matrices.","Each of the two (V, n_embd) matrices (input embedding and output head) has V * n_embd = 32,000 * 4096 = 131,072,000 parameters, so together they contribute 2 * 131,072,000 = 262,144,000 parameters. Each transformer block has 12 * n_embd^2 = 12 * 4096^2 = 12 * 16,777,216 = 201,326,592 parameters, and with 32 layers that is 32 * 201,326,592 = 6,442,450,944 parameters. Total (ignoring small terms like norm scales) is approximately 262,144,000 + 6,442,450,944 = 6,704,594,944, i.e. about 6.7 billion parameters. The embedding/output matrices' share is roughly 262,144,000 / 6,704,594,944 ~ 3.9% -- at this large width the transformer block matrices (which scale as n_embd^2) dominate over the embedding tables (which scale only as V * n_embd)."
"What is 'weight tying' between a language model's input token embedding matrix and its output projection ('LM head') matrix, and what is the practical benefit?","Weight tying means using the exact same (vocab_size, n_embd) weight matrix for both the input embedding lookup (mapping a token id to its starting vector) and the final output projection (mapping the model's last hidden vector to a score/logit for every vocabulary token), instead of learning two separate matrices. The practical benefit is a reduction in total parameter count by one full (vocab_size, n_embd) matrix -- which can be a substantial fraction of total parameters for models with large vocabularies and modest hidden widths -- with the justification that both matrices are conceptually doing related jobs (representing tokens in the same space), though some models find untied embeddings train to lower loss at a given parameter budget, trading extra parameters for quality."
"What is the standard self-supervised training objective for a decoder-only ('GPT-style') language model, commonly called 'next-token prediction' or 'causal language modeling'? Describe what the input and target are for a single training sequence.","Given a sequence of T tokens, the model is trained to predict, at every position i (from 0 to T-2), the token that comes NEXT (position i+1), using only the tokens at positions 0 through i as context (enforced by the causal mask). Concretely, if the raw token sequence is x_0, x_1, ..., x_(T-1), the model's INPUT is x_0...x_(T-2) and the TARGET at each position i is x_(i+1); the loss is the average cross-entropy between the model's predicted probability distribution at each position and the actual next token, summed or averaged over all T-1 positions in the sequence. This lets a single forward pass over one sequence produce T-1 independent training signals in parallel."
"A language model's training loss (cross-entropy, measured in nats using the natural logarithm) on a held-out set is 2.0. Compute the model's perplexity on that set.","Perplexity = e^(cross-entropy loss in nats) = e^2.0 ~ 7.389. This means the model's predictions are, on average, as uncertain as if it were choosing uniformly at random among about 7.39 equally likely options at each position."
"What does 'perplexity' intuitively measure for a language model, in terms of the number of choices the model is effectively uncertain among?","Perplexity is the exponentiated average cross-entropy loss, and it can be interpreted as the effective (weighted) number of equally-likely choices the model is uncertain among at each prediction step. A perplexity of 1 means the model is perfectly confident and always correct; a perplexity of V (the vocabulary size) is what a completely untrained model achieves if it just guesses uniformly at random over the vocabulary; lower perplexity means the model assigns higher probability to the actual next tokens in the data, i.e. it is less 'surprised' by the real text."
"A byte-level language model achieves a cross-entropy loss of 1.386 nats per token on a validation set, and on that same set the average number of UTF-8 bytes represented by one token is 4.0. Compute the model's bits-per-byte (BPB) score. (Use ln(2) = 0.693.)","First convert nats to bits: 1.386 nats / ln(2) = 1.386 / 0.693 = 2.0 bits per token. Then divide by the average bytes per token to get bits per byte: 2.0 bits / 4.0 bytes-per-token = 0.5 bits per byte."
"During autoregressive text generation, why do transformer implementations use a 'KV cache', and what does it store?","During generation, tokens are produced one at a time, and computing the next token requires attention over all previous tokens. Without caching, each new token generation step would require re-running the full forward pass (including recomputing the key and value vectors for every previous position) from scratch, which is wasteful because those key/value vectors for already-processed positions never change. A KV cache stores the previously computed key and value vectors for every past position (per layer, per head), so at each new generation step the model only needs to compute Q, K, V for the single new token, append the new K and V to the cache, and attend over the full cached history -- turning an O(T^2) recomputation per generated token into an O(T) append-and-attend operation, dramatically speeding up autoregressive inference at the cost of extra memory."
"A model has batch size B = 1, n_layer = 40, n_kv_head = 8 key/value heads per layer, head_dim = 128, and generates with a KV cache for a sequence length of T = 4096 tokens, storing both keys and values in bfloat16 (2 bytes per number). Compute the total KV cache memory in bytes (ignore any other overhead).","Per layer, per token, per KV head, the key vector has head_dim = 128 numbers, and the value vector also has 128 numbers, so 256 numbers per (layer, kv_head, token) combined for K and V. Total number count = B * n_layer * n_kv_head * T * head_dim * 2 (for K and V) = 1 * 40 * 8 * 4096 * 128 * 2 = 335,544,320 numbers. At 2 bytes per number (bfloat16): 335,544,320 * 2 = 671,088,640 bytes, which is 671,088,640 / (1024^3) ~ 0.625 GB (about 640 MB)."
"What problem does FlashAttention solve, and why can it compute the exact same attention output as naive attention while using far less memory, without approximating the result?","Naive attention materializes the full (T, T) attention score matrix in memory (computing all query-key dot products, applying softmax, then multiplying by values), which requires O(T^2) memory and repeated reads/writes of that large matrix to and from slow main memory -- making attention memory-bandwidth-bound rather than compute-bound at long sequence lengths. FlashAttention instead processes the queries and keys in small tiles/blocks that fit in fast on-chip memory (like GPU SRAM), computing partial attention outputs for each block and combining them using a numerically stable 'online softmax' algorithm that maintains running maximum and running normalization sums as new blocks arrive. Because the mathematics of softmax can be computed incrementally and combined exactly (not approximately) across blocks, FlashAttention produces IDENTICAL output to naive attention, but never has to write the full (T, T) score matrix to slow memory, reducing memory traffic from O(T^2) to O(T) and making the operation much faster in practice even though the total floating-point operation count is essentially unchanged."
"State the commonly used '6N' rule of thumb for estimating the total training compute (in FLOPs) required to train a transformer language model, where N is the number of (non-embedding) parameters and D is the number of training tokens. Briefly justify where the factor of 6 comes from.","Training compute (in FLOPs) is approximately C = 6 * N * D. The factor of 6 comes from: a forward pass through a linear layer costs about 2 FLOPs per parameter per token (one multiply and one add for each weight, applied once per token), and the backward pass costs roughly twice the forward pass's FLOPs (about 4 FLOPs per parameter per token) because it computes both the gradient with respect to the layer's input (needed to keep backpropagating to earlier layers) and the gradient with respect to the layer's own weights (needed to update them). Summing forward (2) and backward (4) gives 6 FLOPs per parameter per token, and multiplying by N parameters and D tokens gives the total."
"A transformer model has N = 1 billion (1e9) non-embedding parameters and is trained on D = 20 billion (2e10) tokens. Using the 6ND FLOPs approximation, compute the total training compute in FLOPs.","C = 6 * N * D = 6 * 1e9 * 2e10 = 6 * 2e19 = 1.2e20 FLOPs (120 exaFLOPs)."
"State the key finding of the 2022 'Chinchilla' scaling-law paper (Hoffmann et al.) regarding the compute-optimal ratio of training tokens to model parameters, and explain what it means to train a model 'past compute-optimal' (over-trained) versus 'under-trained'.","The Chinchilla paper found that for a FIXED training compute budget, the loss-minimizing ('compute-optimal') strategy trains on roughly 20 tokens per parameter (i.e. model size and dataset size should be scaled roughly equally as compute increases, not favoring ever-larger models trained on relatively less data, as was common practice before). A model trained on FEWER than about 20 tokens per parameter for its size is 'under-trained' -- it has more capacity than the data can fill for that compute budget, and a smaller model trained on more data would have reached lower loss for the same compute. A model trained on MORE than 20 tokens per parameter is 'over-trained' (past compute-optimal for that fixed-compute objective) -- this uses more compute than the theoretically optimal split, but is often done deliberately in practice because a smaller, over-trained model is cheaper to run at inference time for the rest of its (much longer) deployment lifetime, even though it was more expensive to train than the compute-optimal choice."
"Using the Chinchilla rule of thumb of approximately 20 training tokens per parameter, what model size (number of parameters) would be considered roughly compute-optimal if you have a fixed training budget of 100 billion (1e11) tokens available?","Compute-optimal parameter count = tokens / 20 = 1e11 / 20 = 5e9, i.e. approximately 5 billion parameters."
"In autoregressive text generation, what does the 'temperature' parameter do when sampling from a language model's output distribution, mathematically?","Temperature T divides the model's raw output logits before applying softmax: probabilities = softmax(logits / T). A temperature of 1.0 leaves the model's own probability distribution unchanged. A temperature LESS than 1.0 (e.g. 0.5) sharpens the distribution, making the model's top choices even more dominant and the sampling more deterministic/confident (as T approaches 0, sampling approaches always picking the single highest-probability token, i.e. greedy/argmax decoding). A temperature GREATER than 1.0 flattens the distribution toward uniform, making sampling more random/diverse. Note that because division happens before softmax, and softmax is invariant to adding a constant to all logits but NOT invariant to multiplying/dividing them, temperature genuinely changes the shape (confidence) of the distribution rather than just shifting it."
"Given three raw logits for three candidate next tokens: [2.0, 1.0, 0.0], compute the softmax probabilities at temperature T = 1.0 (rounded to 3 decimal places). (Use e^2 ~ 7.389, e^1 ~ 2.718, e^0 = 1.)","Sum of exponentials = 7.389 + 2.718 + 1.0 = 11.107. Probabilities = [7.389/11.107, 2.718/11.107, 1.0/11.107] = [0.665, 0.245, 0.090] (rounded to 3 decimals)."
"Explain the difference between 'top-k' sampling and 'top-p' (nucleus) sampling as truncation strategies used alongside temperature when generating text from a language model.","Top-k sampling keeps only the k tokens with the highest probability (a FIXED number of candidates, e.g. k=50), sets every other token's probability to zero, and renormalizes the remaining probabilities to sum to 1 before sampling -- the same k is used regardless of how confident or uncertain the model's distribution is at that step. Top-p (nucleus) sampling instead keeps the SMALLEST set of highest-probability tokens whose cumulative probability mass reaches a threshold p (e.g. p=0.9), so the number of candidate tokens VARIES from step to step: when the model is very confident (probability concentrated on a few tokens), top-p keeps very few candidates; when the model is very uncertain (probability spread across many tokens), top-p keeps many candidates. Both methods aim to avoid sampling from the model's unreliable long tail of very-low-probability tokens, which is where incoherent or nonsensical generations tend to come from."
"What is 'greedy decoding' when generating text from a language model, and what is one well-known failure mode of using it?","Greedy decoding means, at every generation step, always selecting the single token with the highest predicted probability (the argmax of the output distribution), with no randomness at all -- this makes generation fully deterministic for a given prompt. A well-known failure mode is that greedy decoding often gets stuck in repetitive loops: once a phrase has been repeated, the highest-probability continuation is frequently to repeat it again, since the model has just seen strong recent evidence for that pattern, and with no randomness available to escape it, the model can degenerate into repeating the same phrase or sentence indefinitely."
"What are 'vanishing gradients' and 'exploding gradients' in the context of training deep neural networks, and name one architectural technique (other than residual connections) commonly used to mitigate one of these problems.","Vanishing gradients occur when the gradient of the loss, as it is backpropagated through many layers, is repeatedly multiplied by values with magnitude less than 1 (e.g. derivatives of certain activation functions, or small weight values), causing the gradient signal reaching early layers to shrink toward zero, so those layers learn extremely slowly or not at all. Exploding gradients are the opposite: repeated multiplication by values with magnitude greater than 1 causes the gradient (and consequently the resulting weight updates) to grow extremely large, destabilizing or diverging training. One common mitigation technique (besides residual connections) is normalization layers (such as LayerNorm or RMSNorm) placed inside the network, which keep activation magnitudes in a controlled range at every layer and thereby help keep gradients well-scaled as they propagate backward; gradient clipping (capping the norm of the gradient before applying an update) is another common mitigation specifically for exploding gradients."
"What does the 'W' in AdamW stand for, and how does AdamW's weight decay differ from simply adding an L2 penalty term to the loss function before computing gradients with the plain Adam optimizer?","The 'W' stands for 'decoupled Weight decay'. In plain Adam with an L2 penalty added to the loss, the weight-decay term (proportional to the weight's own value) gets added into the gradient BEFORE Adam's per-parameter adaptive normalization (dividing by the square root of a running average of squared gradients) is applied -- which means parameters with historically large gradients end up having their effective weight decay shrunk by that same normalization, so different parameters are decayed by different effective amounts depending on their gradient statistics. AdamW instead applies weight decay as a SEPARATE step -- directly shrinking the parameter value by a factor like (1 - learning_rate * weight_decay) -- decoupled from and applied independently of the adaptive gradient-based update, so every parameter is decayed by the same consistent proportional amount regardless of its gradient history, which was shown empirically to improve generalization compared to the coupled L2-penalty approach."
"What is the purpose of a 'learning rate warmup' phase at the start of training a deep neural network, and why is it often used together with randomly initialized weights?","Learning rate warmup means starting training with a very small (or zero) learning rate and gradually increasing it to the target/peak learning rate over the first portion of training (e.g. the first few hundred or thousand steps), rather than using the full learning rate from step one. It is used because, at random initialization, the model's weights and the resulting gradients can be poorly scaled or the loss landscape can be especially sharp/unstable near the starting point, so taking large optimizer steps immediately risks causing the loss to diverge (explode) before the model's normalization layers and adaptive optimizer statistics (like Adam's running gradient-magnitude estimates) have had a chance to 'warm up' and stabilize; gradually ramping up the learning rate gives training a chance to settle into a more stable region before taking its largest steps."
"What is 'gradient accumulation' used for in training large models, and how does it let a large effective batch size be trained on hardware that can only fit a smaller batch in memory?","Gradient accumulation lets you simulate training with a large batch size even when your hardware's memory can only hold a much smaller 'micro-batch' at once. Instead of computing a forward and backward pass on the full large batch in one step, you split it into several smaller micro-batches, run a forward and backward pass on EACH micro-batch separately (accumulating -- i.e. summing -- their gradients into the same gradient buffers instead of clearing them between micro-batches), and only call the optimizer's update step ONCE after all micro-batches in the group have been processed. Because each micro-batch's loss must be divided by the number of micro-batches before its backward pass (so that summing their gradients reproduces the gradient of the AVERAGE loss over the full large batch, not a sum that is too large by a factor of the micro-batch count), the resulting parameter update is mathematically equivalent to having processed one single large batch, while peak memory usage stays at the level of just one micro-batch."
"A training setup wants an effective (total) batch size of 2^19 = 524,288 tokens per optimizer step. Each forward/backward pass that fits in memory processes a micro-batch of device_batch_size = 32 sequences of sequence_length = 2048 tokens each. How many micro-batches (gradient accumulation steps) are needed per optimizer step?","Tokens per micro-batch = device_batch_size * sequence_length = 32 * 2048 = 65,536. Gradient accumulation steps = total_batch_size / tokens_per_micro_batch = 524,288 / 65,536 = 8 micro-batches per optimizer step."
"What is 'mixed precision training', and what is the typical difference in how bfloat16 (bf16) and float16 (fp16) represent numbers compared to float32 (fp32), in terms of exponent and mantissa bits?","Mixed precision training performs most computation (matrix multiplies, activations) using a lower-precision, 16-bit floating-point format instead of the standard 32-bit float, in order to roughly halve memory usage and take advantage of faster 16-bit arithmetic hardware (e.g. GPU tensor cores), while typically keeping certain sensitive quantities -- such as the master copy of weights, or specific operations like the final softmax/loss computation -- in full 32-bit precision to preserve numerical stability. Float32 uses 8 exponent bits and 23 mantissa (fraction) bits. Float16 (fp16) also uses 16 bits total but allocates them as 5 exponent bits and 10 mantissa bits, giving it MORE precision than bf16 but a much SMALLER representable range (making it prone to overflow/underflow on large or small values, which is why fp16 training often requires loss scaling). Bfloat16 (bf16) uses 8 exponent bits (the SAME as fp32) and only 7 mantissa bits, giving it the SAME wide dynamic range as fp32 but noticeably coarser precision -- this makes bf16 generally more numerically robust for training (fewer overflow issues) at the cost of more rounding error per number, which is why it is the more commonly preferred format for training large models on modern hardware."
"What is Byte-Pair Encoding (BPE), the tokenization algorithm commonly used by GPT-style models, in terms of how its vocabulary is constructed from training text?","BPE starts with a base vocabulary of individual bytes or characters, and iteratively finds the MOST FREQUENTLY occurring adjacent PAIR of tokens in the training corpus (under the current vocabulary), then MERGES that pair into a single new token, adding it to the vocabulary. This merge-the-most-frequent-pair step is repeated a fixed number of times (until the vocabulary reaches a target size, e.g. 32,000 or 50,000 tokens), producing a vocabulary that represents very common substrings/words as single tokens while still being able to fall back to representing rare or unseen words as sequences of smaller, more common subword pieces (down to individual bytes/characters in the worst case) -- this gives a good balance between a small vocabulary size and being able to tokenize (and later detokenize losslessly) any possible input text, including text with unusual characters, without ever hitting an unknown/out-of-vocabulary token."
"A tokenizer achieves a compression ratio where the text 'the quick brown fox' (19 characters, assume all ASCII so 19 bytes in UTF-8) is encoded into exactly 5 tokens. What is the average number of bytes per token for this example, and why would this 'bytes per token' number matter when comparing the cross-entropy loss of two language models that use DIFFERENT tokenizers?","Average bytes per token = 19 bytes / 5 tokens = 3.8 bytes per token. This matters because cross-entropy loss is normally reported as nats (or bits) PER TOKEN, but the tokenizer's compression ratio (how many bytes each token represents on average) differs between models -- a model with a tokenizer that packs more bytes into each token will naturally have a HIGHER per-token loss just because it is predicting 'more content' per token, even if it is equally good (or better) at predicting the actual underlying text. To make loss/perplexity comparisons fair ACROSS models with different tokenizers, you must normalize by BYTES rather than tokens (e.g. using a 'bits-per-byte' metric), dividing total loss (in bits) by total bytes of text covered, rather than by the number of tokens, since the number of tokens is an artifact of tokenizer choice, not a property of the underlying text or model quality."
"Why does an embedding lookup (turning a token id into its embedding vector) do essentially no floating-point arithmetic proportional to the embedding width, whereas a linear ('language model head') layer that maps a hidden vector to vocabulary-sized logits DOES require substantial computation, even though both operations can involve a matrix of the same (vocab_size, n_embd) shape?","An embedding lookup for a single token simply INDEXES into the (vocab_size, n_embd) weight matrix and copies out one existing row (the embedding vector for that token id) -- this is a memory read/copy operation, not a matrix multiplication, so its cost does not scale with n_embd in terms of floating-point OPERATIONS (it copies n_embd numbers, but performs no multiply-accumulate arithmetic on them). In contrast, the language model head computes, for EVERY position in the sequence, the dot product of the model's final hidden vector (n_embd numbers) against EVERY ONE of the vocab_size rows of its weight matrix to produce a score (logit) for every possible next token -- this is a genuine matrix multiplication involving vocab_size * n_embd multiply-accumulate operations per token, which is exactly why standard FLOPs-counting formulas for transformer training EXCLUDE embedding-table lookups from the parameter/FLOPs count but DO include the output/LM-head projection, even though both matrices have the identical (vocab_size, n_embd) shape."
"What is 'sliding window attention', and what computational benefit does it provide compared to standard 'full' causal attention over the entire sequence, at the cost of what limitation?","Sliding window attention restricts each query position to only attend to a fixed-size WINDOW of the most recent w key/value positions (plus itself), rather than to every earlier position in the sequence (the standard causal-attention rule of 'attend to everything up to and including yourself'). The computational benefit is that attention cost per token becomes O(w) instead of O(T) (where T is the current sequence length), making the total attention compute for a sequence of length T scale as O(T * w) instead of O(T^2) -- a substantial saving for long sequences when w is much smaller than T, since a full sequence's worth of computed positions no longer need to be attended to individually at every step. The limitation is that any single sliding-window layer can only directly access information from the most recent w positions, so information further back than w positions cannot be retrieved by that layer in one hop; many architectures address this by mixing some sliding-window layers with a smaller number of full-context ('global') attention layers, and by relying on the fact that information CAN still propagate across longer distances indirectly through MULTIPLE stacked sliding-window layers (since each layer's output already incorporates a window's worth of context from the layer before it, so depth accumulates an effectively wider receptive field over several layers, similar to how stacking small convolutional kernels expands a CNN's receptive field)."
"A model uses a sliding window of w = 512 for one attention layer, on a sequence of length T = 8192. Roughly how many (query, key) attention pairs does that ONE layer need to compute, and how does this compare (as an order of magnitude) to full causal attention over the same sequence?","With a sliding window, each of the T=8192 query positions attends to at most w+1 = 513 keys (as long as the window is smaller than the position index, which is true for most of the sequence), giving roughly T * (w+1) ~ 8192 * 513 ~ 4,202,496 (about 4.2 million) query-key pairs for the whole layer. Full causal attention over the same T=8192 positions computes roughly T*(T+1)/2 ~ 8192*8193/2 ~ 33,558,528 (about 33.6 million) pairs. So the sliding-window layer computes roughly 8x fewer attention pairs than full attention in this example (4.2M vs 33.6M), and the gap grows as T increases further relative to w, since full attention scales as O(T^2) while sliding-window attention scales as O(T*w)."
"What does MFU (Model FLOPs Utilization) measure when evaluating a training run's efficiency, and write the formula relating it to actual FLOPs achieved per second and the hardware's peak FLOPs per second.","MFU measures what fraction of a piece of hardware's theoretical peak floating-point-operations-per-second the actual training run is achieving, i.e. how efficiently the training code is using the available compute hardware (as opposed to leaving it idle waiting on data loading, small inefficient kernels, memory bandwidth limits, etc). MFU = (FLOPs actually performed per second by the training run) / (theoretical peak FLOPs per second of the hardware), typically expressed as a percentage. A high MFU (e.g. 40-50% on GPUs, which is considered good given real-world overheads) means the implementation is squeezing most of the available compute out of the hardware; a low MFU (e.g. under 10%) signals that something other than raw arithmetic -- such as small operations paying fixed per-call overhead, memory-bound operations, or an underutilized batch size -- is the actual bottleneck, and that a faster implementation (not necessarily a bigger/faster machine) is likely to help."
"A training step processes 2048 tokens using a model that requires 12,000,000 FLOPs per token (for one forward+backward pass), and the step takes 0.5 seconds of wall-clock time. The hardware's theoretical peak throughput is 60,000,000,000 (6e10) FLOPs per second. Compute the MFU for this step as a percentage.","FLOPs performed in this step = tokens * FLOPs_per_token = 2048 * 12,000,000 = 24,576,000,000 (2.4576e10) FLOPs. FLOPs achieved per second = FLOPs_performed / time = 2.4576e10 / 0.5 = 4.9152e10 FLOPs/second. MFU = achieved / peak = 4.9152e10 / 6e10 = 0.8192, i.e. approximately 81.9%."
